[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 13:54:41 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 13:58:46 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:03:00 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:06:07 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:06:23 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:07:21 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:07:38 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:13:22 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:14:44 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:15:22 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:18:15 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:24:41 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:25:58 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:31:40 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:32:22 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:35:24 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:44:02 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:46:47 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:51:04 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:55:19 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:57:11 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:58:33 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 14:58:54 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 15:01:39 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 15:05:14 CEST], errore: Trailing data  
[2025-04-07 08:40:36] local.WARNING: parseDateToCarbon() - Impossibile parsare la data: [02/04/2025 15:07:50 CEST], errore: Trailing data  
